6161 3
7.168300 5.226600 -0.023100 
3.743375 5.548151 -0.517976 
3.809769 5.530677 -0.648171 
3.722035 5.364936 -0.411377 
3.771543 5.096581 -0.239516 
3.788178 5.036172 -0.361175 
3.755045 5.371126 -0.642099 
3.749719 5.204432 -0.138161 
3.793778 4.998597 -0.507575 
3.811620 5.011003 -0.613525 
3.831189 5.052447 -0.698987 
3.768149 5.587589 -0.213668 
3.744700 5.398037 -0.174364 
3.736748 5.540919 -0.333541 
3.735677 5.213303 -0.305084 
3.758263 5.163396 -0.559586 
3.815710 5.145765 -0.740547 
3.789761 5.259524 -0.731266 
3.846961 5.307175 -0.794921 
3.824552 5.411987 -0.745305 
7.945200 5.327000 0.017800 
7.937700 5.340800 -0.159400 
7.941600 5.402000 -0.106600 
7.938600 5.392400 -0.017700 
7.792900 5.411900 -0.009600 
7.789800 5.424000 -0.109500 
7.791900 5.360400 -0.164900 
7.803600 5.348500 0.023700 
7.682000 5.356500 0.028300 
7.662800 5.366800 -0.156600 
7.668500 5.424200 -0.116800 
7.625200 5.432100 -0.023100 
7.613600 5.429500 -0.118200 
7.627500 5.344100 -0.172600 
7.613300 5.363200 0.030700 
7.686800 5.421000 -0.017700 
7.802700 5.321400 0.029100 
7.948000 5.298800 0.016000 
7.617700 5.308500 -0.174800 
7.658900 5.330900 -0.154800 
7.790700 5.311400 -0.163400 
7.934500 5.305700 -0.161300 
7.604500 5.317800 0.030400 
7.677800 5.322400 0.030100 
8.218500 5.322300 -0.007000 
8.151500 5.367100 -0.027200 
8.264600 5.309100 -0.018000 
8.218200 5.356200 -0.134600 
8.258600 5.346600 -0.138100 
8.306900 5.310600 -0.080500 
8.151000 5.381400 -0.094200 
8.145900 5.382000 -0.058400 
8.304100 5.327200 -0.080500 
8.156300 5.373600 -0.059300 
8.273300 5.323100 -0.024700 
8.268700 5.351000 -0.129300 
8.163700 5.370600 -0.094000 
8.230000 5.356300 -0.124100 
8.230300 5.330600 -0.015200 
7.938400 5.412800 -0.057800 
7.789500 5.436700 -0.062300 
7.621800 5.444700 -0.069800 
7.680800 5.439900 -0.067500 
8.165400 5.357400 -0.030100 
7.932000 5.235800 -0.079100 
7.806700 5.253100 -0.073700 
7.573900 5.259200 -0.086600 
7.653500 5.251600 -0.073900 
8.131900 5.372500 -0.023800 
8.178600 5.311100 0.000200 
8.186900 5.340800 -0.148700 
8.137800 5.385700 -0.096300 
8.219000 5.320100 -0.150700 
8.203900 5.295400 -0.004700 
8.128300 5.388800 -0.057900 
8.279600 5.262700 -0.076700 
8.148600 5.239500 -0.078100 
8.090600 5.399100 -0.057900 
8.114300 5.284700 0.003900 
8.120000 5.299300 -0.154900 
8.094200 5.393000 -0.099000 
8.110300 5.330700 -0.155700 
8.103600 5.302200 0.009100 
8.093000 5.375500 -0.017000 
7.702200 5.368300 -0.160000 
7.712800 5.419500 -0.107500 
7.718500 5.413500 -0.013700 
7.703100 5.327700 -0.157000 
7.720000 5.326100 0.029000 
7.721500 5.355100 0.026900 
7.716400 5.437900 -0.063200 
7.712700 5.249400 -0.069100 
7.818200 5.430800 -0.061800 
7.812300 5.309700 -0.161200 
7.818500 5.422000 -0.119100 
7.813200 5.356600 -0.165500 
7.845200 5.243400 -0.077000 
7.850500 5.424600 -0.062100 
7.852300 5.310500 0.025200 
7.833400 5.305200 -0.160100 
8.056500 5.380700 -0.014600 
8.051200 5.309200 0.011000 
8.052300 5.336600 -0.154500 
8.056600 5.400600 -0.098700 
8.049600 5.303100 -0.151300 
8.050400 5.291400 0.007300 
8.056100 5.404100 -0.055500 
8.053800 5.248200 -0.075000 
7.868400 5.240500 -0.080600 
7.880700 5.304400 0.022200 
7.890700 5.400400 -0.013200 
7.887100 5.328800 0.022200 
7.848500 5.415600 -0.118700 
7.856200 5.404400 -0.009800 
7.837000 5.352500 -0.165700 
7.854800 5.338700 0.023600 
7.867800 5.348200 -0.163600 
7.882100 5.407800 -0.114300 
7.888200 5.422600 -0.059300 
7.865000 5.302400 -0.161200 
7.780800 5.324000 0.029500 
7.778800 5.351200 0.024600 
7.763200 5.437100 -0.062100 
7.781200 5.247500 -0.074400 
7.823100 5.249000 -0.072300 
7.830000 5.313700 0.026600 
7.830100 5.345400 0.023500 
7.824000 5.409500 -0.004800 
7.757400 5.364200 -0.164200 
7.758500 5.419400 -0.107400 
7.769000 5.412400 -0.010700 
7.759200 5.316800 -0.164900 
8.011200 5.382300 -0.014700 
8.015000 5.342700 -0.156300 
8.018700 5.303900 -0.153300 
8.009900 5.404200 -0.054600 
8.019500 5.248900 -0.076200 
8.016700 5.317600 0.012800 
8.011200 5.399400 -0.100100 
8.019200 5.296800 0.009900 
8.037100 5.381500 -0.014300 
8.034600 5.340000 -0.156600 
8.033300 5.303900 -0.153400 
8.037400 5.404200 -0.054600 
8.035700 5.251000 -0.074800 
8.035100 5.314200 0.012100 
8.036500 5.400400 -0.097800 
8.036300 5.294400 0.007900 
8.227600 5.240400 -0.076900 
8.149400 5.285300 -0.001000 
8.117100 5.387900 -0.099900 
8.167300 5.304600 -0.153000 
8.147500 5.335200 -0.154100 
8.109400 5.393600 -0.058900 
8.112000 5.374400 -0.020000 
8.137300 5.300500 0.004800 
7.937100 5.240900 -0.035700 
7.806500 5.264200 -0.017300 
7.594600 5.261900 -0.035600 
7.664800 5.259900 -0.020100 
8.298600 5.305400 -0.047900 
8.299900 5.319900 -0.046100 
8.264700 5.266000 -0.038600 
8.140400 5.243000 -0.041700 
7.718300 5.263300 -0.011600 
7.848100 5.253700 -0.021600 
7.877900 5.248400 -0.026000 
8.053800 5.252100 -0.039000 
7.786900 5.259800 -0.017000 
7.825500 5.261000 -0.017100 
8.016200 5.251600 -0.035800 
8.034500 5.255700 -0.035600 
8.202900 5.247300 -0.038500 
8.035000 5.263700 -0.115100 
8.018800 5.260400 -0.116400 
7.818000 5.269800 -0.121400 
7.767600 5.261500 -0.118200 
8.216400 5.257800 -0.124100 
7.709100 5.268200 -0.119600 
8.268900 5.287500 -0.126200 
8.295400 5.335100 -0.110700 
7.651300 5.271300 -0.116900 
8.052500 5.261100 -0.114900 
7.839500 5.264200 -0.123800 
8.144700 5.253600 -0.120300 
7.865600 5.261900 -0.128400 
7.570900 5.252800 -0.156400 
7.800500 5.268300 -0.121300 
7.937100 5.254900 -0.129900 
8.296200 5.326200 -0.118500 
8.156100 5.362700 -0.059300 
8.298300 5.336200 -0.076400 
8.273000 5.325600 -0.034300 
8.269100 5.344700 -0.118900 
8.166600 5.363200 -0.091200 
8.235000 5.348900 -0.116500 
8.234000 5.327900 -0.025900 
8.169300 5.352300 -0.037300 
8.291300 5.326900 -0.051100 
8.288300 5.342800 -0.106600 
8.242700 5.354200 -0.070100 
8.276200 5.345700 -0.073200 
8.077800 5.301500 -0.154100 
8.073800 5.333900 -0.154400 
8.082000 5.243700 -0.077600 
8.073700 5.377800 -0.016700 
8.073700 5.396500 -0.098700 
8.072600 5.401700 -0.057200 
8.074600 5.286400 0.004800 
8.069900 5.305000 0.010500 
8.084200 5.245500 -0.045800 
8.082100 5.255600 -0.117200 
8.076600 5.329300 -0.195300 
8.078700 5.335100 -0.364600 
8.075700 5.396300 -0.314700 
8.081800 5.379400 -0.226600 
7.900800 5.418400 -0.226100 
7.899100 5.434700 -0.328700 
7.898700 5.367300 -0.384800 
7.896300 5.360500 -0.196900 
7.737600 5.348800 -0.195600 
7.749200 5.369700 -0.386900 
7.737300 5.452500 -0.334300 
7.642700 5.439300 -0.240000 
7.645900 5.469000 -0.354500 
7.642900 5.360300 -0.383200 
7.629700 5.340600 -0.194800 
7.739400 5.426400 -0.237600 
7.891400 5.333100 -0.196800 
8.079400 5.300100 -0.193400 
7.644900 5.317900 -0.392300 
7.746000 5.323900 -0.390400 
7.898600 5.329400 -0.388500 
8.079500 5.288500 -0.366600 
7.622400 5.306100 -0.202200 
7.730100 5.311900 -0.205700 
8.338300 5.338600 -0.205900 
8.283200 5.360800 -0.231900 
8.376100 5.331000 -0.206900 
8.329700 5.345800 -0.326000 
8.377800 5.332100 -0.329600 
